FID,REGION_CODE,REGION_DESCRIPTION,SITE_NAME,TEMP_C,DEPTH,MOORING_CODE,MOORING_DESCRIPTION,SUBSTRATE_TYPE_CODE,SUBSTRATE_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,GEOM,DATETIME_LOCAL,DATETIME_UTC
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13d4,2,West Coast,Cape Sorell,17.058,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-14T04:00:00,2010-01-13T18:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13d3,2,West Coast,Cape Sorell,16.82,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-14T12:00:00,2010-01-14T02:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13d2,2,West Coast,Cape Sorell,16.844,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-14T20:00:00,2010-01-14T10:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13d1,2,West Coast,Cape Sorell,16.915,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-01T16:00:00,2010-01-01T06:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13d0,2,West Coast,Cape Sorell,16.487,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-02T00:00:00,2010-01-01T14:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13cf,2,West Coast,Cape Sorell,16.368,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-02T08:00:00,2010-01-01T22:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13ce,2,West Coast,Cape Sorell,16.558,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-02T16:00:00,2010-01-02T06:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13cd,2,West Coast,Cape Sorell,16.439,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-03T00:00:00,2010-01-02T14:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13cc,2,West Coast,Cape Sorell,15.915,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-03T08:00:00,2010-01-02T22:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13cb,2,West Coast,Cape Sorell,16.296,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-03T16:00:00,2010-01-03T06:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13ca,2,West Coast,Cape Sorell,16.058,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-04T00:00:00,2010-01-03T14:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13c9,2,West Coast,Cape Sorell,16.034,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-04T08:00:00,2010-01-03T22:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13c8,2,West Coast,Cape Sorell,16.249,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-04T16:00:00,2010-01-04T06:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13c7,2,West Coast,Cape Sorell,16.511,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-05T00:00:00,2010-01-04T14:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13c6,2,West Coast,Cape Sorell,16.392,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-05T08:00:00,2010-01-04T22:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13c5,2,West Coast,Cape Sorell,16.487,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-05T16:00:00,2010-01-05T06:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13c4,2,West Coast,Cape Sorell,16.487,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-06T00:00:00,2010-01-05T14:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13c3,2,West Coast,Cape Sorell,16.534,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-06T08:00:00,2010-01-05T22:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-13c2,2,West Coast,Cape Sorell,16.654,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-06T16:00:00,2010-01-06T06:00:00
